date,Fleet_Size_Full_Day,Fleet_Size_Peak_Morning,Fleet_Size_Peak_Evening,Fleet_Size_Off_Peak,weekday
2025-02-01,6498,3347,6393,4823,Saturday
2025-02-02,5046,3046,4847,4594,Sunday
2025-02-03,5376,5376,4111,3821,Monday
2025-02-04,5348,5341,4653,4064,Tuesday
2025-02-05,6039,6034,5256,4523,Wednesday
2025-02-06,5887,5830,5693,4873,Thursday
2025-02-07,6564,6062,6390,5480,Friday
2025-02-08,6501,3661,6295,4910,Saturday
2025-02-09,6556,2931,6540,4093,Sunday
2025-02-10,5647,5646,4331,4163,Monday
2025-02-11,5520,5516,4738,4201,Tuesday
2025-02-12,5577,5574,5199,4355,Wednesday
2025-02-13,6022,5716,5870,5205,Thursday
2025-02-14,6714,5438,5897,5574,Friday
2025-02-15,6481,3385,6470,5679,Saturday
2025-02-16,4694,2721,4550,4627,Sunday
2025-02-17,4310,3227,4251,4139,Monday
2025-02-18,5766,5766,4810,4041,Tuesday
2025-02-19,5475,5472,4959,4196,Wednesday
2025-02-20,6058,5960,5970,4730,Thursday
2025-02-21,7015,5766,6795,5744,Friday
2025-02-22,6399,3240,6099,4177,Saturday
2025-02-23,5329,3323,5303,4497,Sunday
2025-02-24,5344,5334,4568,4464,Monday
2025-02-25,6482,6468,5096,4529,Tuesday
2025-02-26,6309,6308,5661,5079,Wednesday
2025-02-27,6493,6292,6053,5985,Thursday
2025-02-28,6326,5893,6230,5831,Friday
