date,Fleet_Size_Full_Day,Fleet_Size_Peak_Morning,Fleet_Size_Peak_Evening,Fleet_Size_Off_Peak,weekday
2025-02-01,19394,10151,19322,15593,Saturday
2025-02-02,15024,9510,14109,14873,Sunday
2025-02-03,16202,16193,13336,12618,Monday
2025-02-04,16686,16677,15692,14052,Tuesday
2025-02-05,17360,16617,16760,15221,Wednesday
2025-02-06,18222,18198,16936,15333,Thursday
2025-02-07,19028,15670,18845,16858,Friday
2025-02-08,18731,10087,18330,15651,Saturday
2025-02-09,16141,8691,15517,14748,Sunday
2025-02-10,15892,15881,14936,14316,Monday
2025-02-11,16808,16795,15996,14316,Tuesday
2025-02-12,17575,16740,16827,15473,Wednesday
2025-02-13,19009,18407,18344,16908,Thursday
2025-02-14,22375,16397,22182,19259,Friday
2025-02-15,18736,9581,18697,16845,Saturday
2025-02-16,14765,8813,14380,14300,Sunday
2025-02-17,13923,9871,13694,12897,Monday
2025-02-18,16046,15550,15293,13541,Tuesday
2025-02-19,16705,16152,15929,14225,Wednesday
2025-02-20,19100,15483,18822,15485,Thursday
2025-02-21,17794,13973,17702,15092,Friday
2025-02-22,19133,10215,19108,16077,Saturday
2025-02-23,13831,9065,12495,13790,Sunday
2025-02-24,16430,16419,13537,12904,Monday
2025-02-25,15657,15648,14845,13278,Tuesday
2025-02-26,16761,15901,16031,14819,Wednesday
2025-02-27,18073,17514,16888,16540,Thursday
2025-02-28,18467,15558,18226,16694,Friday
