date,Fleet_Size_Full_Day,Fleet_Size_Peak_Morning,Fleet_Size_Peak_Evening,Fleet_Size_Off_Peak,weekday
2025-02-01,34041,10151,19322,15593,Saturday
2025-02-02,24847,9510,14109,14873,Sunday
2025-02-03,25279,16193,13336,12618,Monday
2025-02-04,28517,16677,15692,14052,Tuesday
2025-02-05,30294,16617,16760,15221,Wednesday
2025-02-06,31765,18198,16936,15333,Thursday
2025-02-07,33055,15670,18845,16858,Friday
2025-02-08,32604,10087,18330,15651,Saturday
2025-02-09,29034,8691,15517,14748,Sunday
2025-02-10,27429,15881,14936,14316,Monday
2025-02-11,30086,16795,15996,14316,Tuesday
2025-02-12,31027,16740,16827,15473,Wednesday
2025-02-13,34169,18407,18344,16908,Thursday
2025-02-14,38065,16397,22182,19259,Friday
2025-02-15,31702,9581,18697,16845,Saturday
2025-02-16,25550,8813,14380,14300,Sunday
2025-02-17,21752,9871,13694,12897,Monday
2025-02-18,28068,15550,15293,13541,Tuesday
2025-02-19,29335,16152,15929,14225,Wednesday
2025-02-20,31574,15483,18822,15485,Thursday
2025-02-21,30826,13973,17702,15092,Friday
2025-02-22,34000,10215,19108,16077,Saturday
2025-02-23,23487,9065,12495,13790,Sunday
2025-02-24,25677,16419,13537,12904,Monday
2025-02-25,27543,15648,14845,13278,Tuesday
2025-02-26,30051,15901,16031,14819,Wednesday
2025-02-27,32147,17514,16888,16540,Thursday
2025-02-28,32454,15558,18226,16694,Friday
